Equipe,"Nb.
Ete",GoldSummer,SilverSummer,BronzeSummer,TotalSummer,"Nb.
Hiver",GoldWinter,SilverWinte,BonzeWinte,TotalWinte,"Nb.
Jeux",GoldCumul,SilverCumul,BonzeCumul,Total combine
Géorgie,7,10,12,18,40,7,0,0,0,0,14,10,12,18,40
Ghana,15,0,1,4,5,2,0,0,0,0,17,0,1,4,5
Grande-Bretagne,29,285,316,315,916,23,11,4,17,32,52,296,320,332,948
Grèce,29,35,45,41,121,19,0,0,0,0,48,35,45,41,121
Grenade,10,1,1,1,3,0,0,0,0,0,10,1,1,1,3
Guatemala,15,0,1,0,1,1,0,0,0,0,16,0,1,0,1
Guyana,18,0,0,1,1,0,0,0,0,0,18,0,0,1,1
Haïti,16,0,1,1,2,0,0,0,0,0,16,0,1,1,2
Hong Kong,17,2,3,4,9,5,0,0,0,0,22,2,3,4,9
Hongrie,27,181,154,176,511,23,1,2,4,7,50,182,156,180,518
Îles Vierges des États-Unis,13,0,1,0,1,7,0,0,0,0,20,0,1,0,1
Inde,25,10,9,16,35,10,0,0,0,0,35,10,9,16,35
Indonésie,16,8,14,15,37,0,0,0,0,0,16,8,14,15,37
Iran,17,24,23,29,76,11,0,0,0,0,28,24,23,29,76
Irak,15,0,0,1,1,0,0,0,0,0,15,0,0,1,1
Irlande,22,11,10,14,35,7,0,0,0,0,29,11,10,14,35
Islande,21,0,2,2,4,18,0,0,0,0,39,0,2,2,4
Israël,17,3,1,9,13,7,0,0,0,0,24,3,1,9,13
